Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;1;1145;100;24;24;0;8;99,3;1118;19;3;6;5;5;3;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;2;461;100;24;24;0;1;99,78;326;134;5;14;113;2;2;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;3;1726;100;24;24;0;5;99,71;1684;37;10;16;8;3;3;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;4;1763;100;24;24;0;4;99,77;1553;206;30;18;147;11;11;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;6;837;100;24;24;0;0;100;701;136;24;11;99;2;2;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;Totalt i retning Hamna;2872;100;24;24;0;13;99,55;2803;56;13;21;14;8;6;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;Totalt i retning Langnestunnelen;3060;100;24;24;0;5;99,84;2579;476;59;44;358;15;15;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;Totalt;5932;100;24;24;0;18;99,7;5382;532;72;65;372;23;21;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;1;2469;100;24;24;0;18;99,27;2364;87;33;33;9;12;12;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;2;2632;100;24;24;0;110;95,82;2095;427;32;67;293;35;32;3
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;3;7072;100;24;24;0;5;99,93;6919;148;59;67;10;12;11;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;4;6512;100;24;24;0;312;95,21;5564;636;227;98;244;67;59;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;6;2938;100;24;24;0;0;100;2571;367;106;42;211;8;8;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;Totalt i retning Hamna;9549;100;24;24;0;30;99,69;9283;236;93;100;19;24;23;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;Totalt i retning Langnestunnelen;12074;100;24;24;0;415;96,56;10230;1429;364;207;748;110;99;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;Totalt;21623;100;24;24;0;445;97,94;19513;1665;457;307;767;134;122;12
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;1;2513;100;24;24;0;28;98,89;2362;123;38;57;20;8;8;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;2;2718;100;24;24;0;157;94,22;2185;376;31;64;252;29;25;4
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;3;6659;100;24;24;0;3;99,95;6487;169;59;84;10;16;15;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;4;6194;100;24;24;0;352;94,32;5256;586;183;93;258;52;48;4
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;6;2902;100;24;24;0;0;100;2497;405;93;74;234;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;Totalt i retning Hamna;9172;100;24;24;0;29;99,68;8850;293;97;141;31;24;23;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;Totalt i retning Langnestunnelen;11814;100;24;24;0;511;95,67;9937;1366;307;231;743;85;77;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;Totalt;20986;100;24;24;0;540;97,43;18787;1659;404;372;774;109;100;9
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;1;2769;100;24;24;0;17;99,39;2630;122;40;39;33;10;10;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;2;3058;100;24;24;0;193;93,69;2456;409;30;48;305;26;25;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;3;7490;100;24;24;0;1;99,99;7355;134;60;57;6;11;11;0
